Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
3/1/2023,92.17,94.17,96.67,97.27,0.93,32.26,-0.022,52299500
3/2/2023,92.13,94.26,96.49,96.99,0.93,33.41,0,55509400
3/3/2023,94.9,94.46,96.43,96.79,0.92,36.64,0.03,55759600
3/6/2023,93.75,94.63,96.32,96.59,0.92,33.79,-0.012,52112400
3/7/2023,93.55,94.76,96.21,96.41,0.93,27.74,-0.002,49100700
3/8/2023,93.92,94.97,96.12,96.22,0.93,35.36,0.004,44899100
3/9/2023,92.25,95.11,95.97,96.01,0.93,33.68,-0.018,56218700
3/10/2023,90.73,95.26,95.76,95.85,0.92,36.32,-0.016,69827500
3/13/2023,92.43,95.47,95.63,95.64,0.91,38.46,0.019,72397100
3/14/2023,94.88,95.69,95.6,95.42,0.92,47.23,0.027,60912700
3/15/2023,96.2,95.93,95.63,95.24,0.92,58.45,0.014,70731800
3/16/2023,100.04,96.21,95.8,95.08,0.92,66.05,0.04,84446900
3/17/2023,98.95,96.49,95.92,94.88,0.91,61.69,-0.011,87300200
3/20/2023,97.71,96.78,95.99,94.66,0.91,64.31,-0.013,62388900
3/21/2023,100.61,97.07,96.18,94.46,0.92,69.08,0.03,58597300
3/22/2023,98.7,97.3,96.27,94.29,0.91,58.9,-0.019,57475400
3/23/2023,98.71,97.48,96.37,94.17,0.9,62.27,0,57559300
3/24/2023,98.13,97.54,96.44,94.11,0.88,61.12,-0.006,56095400
3/27/2023,98.04,97.59,96.5,94.07,0.89,60.14,-0.001,46721300
3/28/2023,97.24,97.57,96.53,94.07,0.9,62.83,-0.008,38720100
3/29/2023,100.25,97.66,96.68,94.16,0.91,72.73,0.031,49783300
3/30/2023,102,97.79,96.89,94.28,0.91,72.8,0.017,53633400
3/31/2023,103.29,97.98,97.14,94.41,0.91,71.21,0.013,56750300
4/3/2023,102.41,98.08,97.34,94.52,0.9,66.01,-0.009,41135700
4/4/2023,103.95,98.21,97.6,94.66,0.92,61.44,0.015,48662500
4/5/2023,101.1,98.31,97.74,94.81,0.92,55.7,-0.027,45175400
4/6/2023,102.06,98.41,97.91,94.87,0.91,61.71,0.009,43808000
4/10/2023,102.17,98.47,98.08,94.88,0.93,54.94,0.001,37261200
4/11/2023,99.92,98.42,98.15,94.9,0.93,53.78,-0.022,60417800
4/12/2023,97.83,98.36,98.14,94.88,0.94,47.58,-0.021,56735000
4/13/2023,102.4,98.35,98.3,94.94,0.92,59.62,0.047,67925100
4/14/2023,102.51,98.3,98.47,95.01,0.91,60.06,0.001,51450500
4/17/2023,102.74,98.09,98.64,95.1,0.91,62.71,0.002,39919500
4/18/2023,102.3,98.07,98.78,95.2,0.9,55.37,-0.004,39790500
4/19/2023,104.3,98.11,99,95.31,0.9,55.95,0.02,58398900
4/20/2023,103.81,98.15,99.18,95.41,0.91,51.4,-0.005,57696900
4/21/2023,106.96,98.29,99.49,95.54,0.9,60.94,0.03,86774200
4/24/2023,106.21,98.45,99.75,95.66,0.93,55.65,-0.007,69575600
4/25/2023,102.57,98.54,99.86,95.77,0.92,53.54,-0.034,65026800
4/26/2023,104.98,98.65,100.06,95.85,0.93,56.56,0.023,73803800
4/27/2023,109.82,98.86,100.45,95.99,0.93,64.18,0.046,149961200
4/28/2023,105.45,98.94,100.64,96.11,0.91,59.5,-0.04,130565000
5/1/2023,102.05,99.02,100.7,96.22,0.89,56.94,-0.032,74728100
5/2/2023,103.63,99.15,100.81,96.37,0.89,52.24,0.015,73469400
5/3/2023,103.65,99.33,100.92,96.52,0.89,52.09,0,65051900
5/4/2023,104,99.49,101.04,96.66,0.88,52.3,0.003,45345500
5/5/2023,105.66,99.69,101.23,96.82,0.89,55.86,0.016,56912900
5/8/2023,105.83,99.94,101.41,96.98,0.89,52.85,0.002,49430900
5/9/2023,106.62,100.19,101.61,97.12,0.89,55.18,0.007,44089400
5/10/2023,110.19,100.51,101.95,97.31,0.91,55.86,0.033,78627600
5/11/2023,112.18,100.91,102.35,97.54,0.92,60.37,0.018,74924800
5/12/2023,110.26,101.28,102.66,97.77,0.91,64.2,-0.017,49810100
5/15/2023,111.2,101.6,102.99,98.03,0.89,62.15,0.009,53011100
5/16/2023,113.4,102,103.4,98.31,0.88,57.8,0.02,71472900
5/17/2023,115.5,102.43,103.88,98.6,0.89,74.29,0.019,65655200
5/18/2023,118.15,102.92,104.44,98.94,0.9,90.37,0.023,73174100
5/19/2023,116.25,103.4,104.9,99.25,0.92,81.15,-0.016,54990200
5/22/2023,115.01,103.89,105.3,99.57,0.9,76.44,-0.011,70741100
5/23/2023,114.99,104.34,105.68,99.9,0.9,75.98,0,67576300
5/24/2023,116.75,104.77,106.11,100.23,0.89,76.09,0.015,63487900
5/25/2023,115,105.15,106.46,100.54,0.89,70.08,-0.015,66496700
5/26/2023,120.11,105.55,106.99,100.88,0.92,74.84,0.044,96779900
5/30/2023,121.66,106.01,107.57,101.25,0.92,72.82,0.013,64314800
5/31/2023,120.58,106.46,108.08,101.62,0.93,67.34,-0.009,72800800
6/1/2023,122.77,106.91,108.66,101.99,0.93,75.54,0.018,54375100
6/2/2023,124.25,107.42,109.27,102.36,0.93,76.07,0.012,61215000
6/5/2023,125.3,107.95,109.9,102.71,0.93,74.92,0.008,47950100
6/6/2023,126.61,108.52,110.55,103.03,0.93,74.06,0.01,45695200
6/7/2023,121.23,108.98,110.97,103.29,0.92,55.96,-0.042,95663300
6/8/2023,124.25,109.52,111.49,103.55,0.94,64.85,0.025,62159300
6/9/2023,123.43,109.99,111.96,103.82,0.95,65.87,-0.007,51330000
6/12/2023,126.57,110.48,112.53,104.13,0.96,69.53,0.025,51338000
6/13/2023,126.66,110.94,113.09,104.46,0.96,67.72,0.001,50564800
6/14/2023,126.42,111.42,113.61,104.75,0.96,71.58,-0.002,52422500
6/15/2023,127.11,111.89,114.14,105.05,0.96,65.88,0.005,60458500
6/16/2023,125.49,112.38,114.58,105.34,0.95,58.66,-0.013,84188100
6/20/2023,125.78,112.85,115.02,105.63,0.93,62.2,0.002,56930100
6/21/2023,124.83,113.3,115.41,105.88,0.93,55.13,-0.008,52137700
6/22/2023,130.15,113.91,115.99,106.16,0.92,62.33,0.043,90354600
6/23/2023,129.33,114.54,116.51,106.45,0.92,58.51,-0.006,71855200
6/26/2023,127.33,115.04,116.93,106.69,0.91,51.48,-0.015,59989300
6/27/2023,129.18,115.57,117.41,106.93,0.91,69.06,0.015,46801000
6/28/2023,129.04,116.1,117.87,107.09,0.91,63.33,-0.001,52149500
6/29/2023,127.9,116.61,118.26,107.34,0.93,62.22,-0.009,40761000
6/30/2023,130.36,117.13,118.74,107.62,0.94,60.76,0.019,54310500
7/3/2023,130.22,117.66,119.19,107.9,0.93,60.08,-0.001,28264800
7/5/2023,130.38,118.13,119.63,108.21,0.92,61.26,0.001,35895400
7/6/2023,128.36,118.57,119.97,108.51,0.93,53.31,-0.015,40639900
7/7/2023,129.78,119.11,120.35,108.83,0.93,61.46,0.011,41928700
7/10/2023,127.13,119.56,120.62,109.1,0.94,53.2,-0.02,61889300
7/11/2023,128.78,119.94,120.94,109.4,0.95,59.07,0.013,49951500
7/12/2023,130.8,120.44,121.33,109.69,0.95,51.76,0.016,54022800
7/13/2023,134.3,121.09,121.83,110.05,0.93,61.75,0.027,61170900
7/14/2023,134.68,121.71,122.34,110.43,0.94,68.82,0.003,54388100
7/17/2023,133.56,122.31,122.78,110.82,0.97,61.65,-0.008,48450200
7/18/2023,132.83,122.88,123.17,111.19,0.96,59.77,-0.005,54969100
7/19/2023,135.36,123.48,123.65,111.58,0.95,67.95,0.019,54531000
7/20/2023,129.96,123.96,123.9,111.95,0.94,49.16,-0.04,59820600
7/21/2023,130,124.43,124.14,112.31,0.93,49.53,0,133265000
7/24/2023,128.8,124.8,124.32,112.66,0.94,46.8,-0.009,45591100
7/25/2023,129.13,125.14,124.51,113.03,0.93,51.68,0.003,39236700
7/26/2023,128.15,125.5,124.65,113.39,0.93,46.38,-0.008,53910100
7/27/2023,128.25,125.84,124.79,113.72,0.93,52.8,0.001,52610700
7/28/2023,132.21,126.21,125.08,114.1,0.93,57.69,0.031,46317400
7/31/2023,133.68,126.58,125.42,114.51,0.93,56.62,0.011,41901500
8/1/2023,131.69,126.85,125.67,114.88,0.93,43.55,-0.015,42098500
8/2/2023,128.21,127.09,125.77,115.24,0.93,36.13,-0.026,51027600
8/3/2023,128.91,127.37,125.89,115.63,0.91,39.85,0.005,88585200
8/4/2023,139.57,127.86,126.43,116.1,0.91,60.26,0.083,152938700
8/7/2023,142.22,128.37,127.05,116.57,0.92,60.41,0.019,71213100
8/8/2023,139.94,128.86,127.55,117.01,0.92,66.72,-0.016,51710500
8/9/2023,137.85,129.22,127.96,117.39,0.93,62.31,-0.015,50017300
8/10/2023,138.56,129.56,128.37,117.78,0.95,65.54,0.005,58928400
