Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
5/2/2023,302.38,272.03,275.95,257.76,265.21,64.53,0,26404400
5/3/2023,301.38,273.06,276.95,258.36,265.92,67.94,-0.003,22360800
5/4/2023,302.38,274.12,277.94,258.94,266.64,66.86,0.003,22519900
5/5/2023,307.57,275.23,279.11,259.6,267.45,70.61,0.017,28181200
5/8/2023,305.59,276.41,280.14,260.16,268.21,68.04,-0.006,21318600
5/9/2023,303.95,277.53,281.08,260.66,268.92,68.89,-0.005,21340800
5/10/2023,309.21,278.78,282.18,261.21,269.72,72.03,0.017,30078000
5/11/2023,307.03,280.04,283.16,261.82,270.45,74.24,-0.007,31680200
5/12/2023,305.9,281.19,284.05,262.47,271.16,81.5,-0.004,19758100
5/15/2023,306.39,282.26,284.92,263.15,271.85,70.85,0.002,16336500
5/16/2023,308.65,283.35,285.85,263.85,272.58,62.98,0.007,26730300
5/17/2023,311.56,284.55,286.86,264.55,273.35,63.69,0.007,24315000
5/18/2023,316.05,285.84,288.01,265.36,274.2,72.79,0.014,27276000
5/19/2023,315.87,287.16,289.1,266.16,275.03,72.72,-0.001,27529500
5/22/2023,318.69,288.62,290.26,267.01,275.89,77.47,0.009,24115700
5/23/2023,312.81,289.84,291.14,267.82,276.62,64.34,-0.018,30797200
5/24/2023,311.41,290.91,291.94,268.56,277.31,55.9,-0.004,23384900
5/25/2023,323.39,292.12,293.17,269.42,278.22,70.9,0.038,43301700
5/26/2023,330.31,293.26,294.63,270.36,279.25,77.53,0.021,36630600
5/30/2023,328.64,294.3,295.96,271.38,280.23,71.94,-0.005,29503100
5/31/2023,325.84,295.42,297.13,272.45,281.13,70.95,-0.009,45950600
6/1/2023,330,296.6,298.42,273.52,282.1,75.14,0.013,26773900
6/2/2023,332.8,297.87,299.77,274.61,283.11,76.28,0.008,25864000
6/5/2023,333.33,299.03,301.09,275.68,284.1,75.44,0.002,21307100
6/6/2023,331.09,300.1,302.26,276.66,285.03,70.41,-0.007,20396200
6/7/2023,320.87,301.04,302.99,277.52,285.74,54.5,-0.031,40717100
6/8/2023,322.74,302.05,303.77,278.38,286.47,56.21,0.006,23277700
6/9/2023,324.25,302.98,304.57,279.25,287.22,55.16,0.005,22514900
6/12/2023,329.27,303.94,305.54,280.22,288.05,65.5,0.015,24260300
6/13/2023,331.7,304.87,306.57,281.24,288.92,68.73,0.007,22951300
6/14/2023,334.72,305.87,307.67,282.22,289.83,62.54,0.009,26003800
6/15/2023,345.4,307.09,309.15,283.27,290.93,65.42,0.032,38899100
6/16/2023,339.67,308.26,310.35,284.28,291.89,60.41,-0.017,46533600
6/20/2023,335.43,309.19,311.33,285.26,292.75,58.8,-0.013,26375400
6/21/2023,330.97,310.08,312.1,286.12,293.51,50.89,-0.013,25117800
6/22/2023,337.07,311.22,313.08,287.04,294.37,53.68,0.018,23556800
6/23/2023,332.42,312.26,313.84,287.97,295.13,49.27,-0.014,23084700
6/26/2023,326.05,313.04,314.32,288.78,295.74,46.2,-0.019,21520600
6/27/2023,331.97,314.01,315.01,289.6,296.46,58.95,0.018,24354100
6/28/2023,333.24,314.96,315.72,290.32,297.18,58.56,0.004,20259500
6/29/2023,332.45,315.9,316.38,291.1,297.88,56.75,-0.002,16997000
6/30/2023,337.9,316.94,317.22,291.94,298.68,57.05,0.016,26823800
